date,Country Code,ziyaretci_sayisi
2023-07,HND,919
2023-10,HND,801
2024-01,HND,610
2024-04,HND,735
2024-07,HND,227
2022-01,HKG,405
2022-04,HKG,1062
2022-07,HKG,1481
2022-10,HKG,2248
2023-01,HKG,2358
2023-04,HKG,3977
2023-07,HKG,4634
2023-10,HKG,5112
2024-01,HKG,3410
2024-04,HKG,6129
2024-07,HKG,2239
2019-01,HRV,3593
2019-04,HRV,8834
2019-07,HRV,1728
2020-01,HRV,1677
2020-04,HRV,156
2020-07,HRV,570
2022-01,HRV,7615
2022-04,HRV,10752
2022-07,HRV,8627
2022-10,HRV,12322
2023-01,HRV,9477
2023-04,HRV,9975
2023-07,HRV,8869
2023-10,HRV,13906
2024-01,HRV,12288
2024-04,HRV,12382
2024-07,HRV,2771
2019-01,IRQ,132469
2019-04,IRQ,136735
2019-07,IRQ,276689
2019-10,IRQ,131251
2020-01,IRQ,81949
2020-04,IRQ,1867
2020-07,IRQ,17533
2020-10,IRQ,36793
2021-01,IRQ,45390
2021-04,IRQ,61863
2021-07,IRQ,146606
2021-10,IRQ,87631
2022-01,IRQ,72825
2022-04,IRQ,98965
2022-07,IRQ,166991
2022-10,IRQ,85164
2023-01,IRQ,77111
2023-04,IRQ,93369
2023-07,IRQ,149483
2023-10,IRQ,84644
2024-01,IRQ,66968
2024-04,IRQ,94562
2024-07,IRQ,44314
2022-01,JAM,164
2022-04,JAM,285
2022-07,JAM,212
2022-10,JAM,239
2023-01,JAM,191
2023-04,JAM,259
2023-07,JAM,357
2023-10,JAM,347
2024-01,JAM,310
2024-04,JAM,396
2024-07,JAM,108
2019-01,JPN,20040
2020-01,JPN,15460
2022-01,JPN,2564
2022-04,JPN,5528
2022-07,JPN,8964
2022-10,JPN,9934
2023-01,JPN,11238
2023-04,JPN,13828
2023-07,JPN,22607
2023-10,JPN,22413
2024-01,JPN,23105
2024-04,JPN,27673
2024-07,JPN,9077
2022-01,KHM,59
2022-04,KHM,71
2022-07,KHM,70
2022-10,KHM,114
2023-01,KHM,99
2023-04,KHM,69
2023-07,KHM,106
2023-10,KHM,133
2024-01,KHM,65
2024-04,KHM,119
2024-07,KHM,36
2022-01,CMR,2107
2022-04,CMR,2840
2022-07,CMR,2071
2022-10,CMR,2014
2023-01,CMR,1754
2023-04,CMR,1592
2023-07,CMR,1901
2023-10,CMR,1629
2024-01,CMR,1196
2024-04,CMR,1522
2024-07,CMR,573
2019-01,CAN,19641
2019-04,CAN,29624
2019-07,CAN,37522
2019-10,CAN,23740
2020-01,CAN,15120
2020-04,CAN,456
2020-07,CAN,7933
2020-10,CAN,7928
2021-01,CAN,5429
2021-04,CAN,10118
2021-07,CAN,26665
2021-10,CAN,23043
2022-01,CAN,18547
2022-04,CAN,38460
2022-07,CAN,53530
2022-10,CAN,36068
2023-01,CAN,26858
2023-04,CAN,44367
2023-07,CAN,54075
2023-10,CAN,43201
2024-01,CAN,31950
2024-04,CAN,56844
2024-07,CAN,23530
2022-01,MNE,3533
2022-04,MNE,3945
2022-07,MNE,2942
2022-10,MNE,4730
2023-01,MNE,3904
2023-04,MNE,3480
2023-07,MNE,2894
2023-10,MNE,5301
2024-01,MNE,4951
2024-04,MNE,4553
2024-07,MNE,917
2019-01,QAT,11389
2019-04,QAT,7291
2019-07,QAT,36993
2019-10,QAT,22891
2020-01,QAT,10711
2020-04,QAT,199
2020-07,QAT,10255
2020-10,QAT,7441
2021-01,QAT,3500
2021-04,QAT,14181
2021-07,QAT,37204
2021-10,QAT,11190
2022-01,QAT,16000
2022-04,QAT,21924
2022-07,QAT,29038
2022-10,QAT,14888
2023-01,QAT,9958
2023-04,QAT,15745
2023-07,QAT,22181
2023-10,QAT,11641
2024-01,QAT,7077
2024-04,QAT,12918
2024-07,QAT,9122
2019-01,KAZ,43337
2019-04,KAZ,52277
2019-07,KAZ,57503
2019-10,KAZ,46914
2020-01,KAZ,38896
2020-04,KAZ,2037
2020-07,KAZ,24350
2020-10,KAZ,26344
2021-01,KAZ,19688
2021-04,KAZ,27414
2021-07,KAZ,40977
2021-10,KAZ,51011
2022-01,KAZ,53644
2022-04,KAZ,83789
2022-07,KAZ,93005
2022-10,KAZ,72431
2023-01,KAZ,67959
2023-04,KAZ,90368
2023-07,KAZ,113352
2023-10,KAZ,79363
2024-01,KAZ,74664
2024-04,KAZ,96417
2024-07,KAZ,36630
2022-01,KEN,2035
2022-04,KEN,3017
2022-07,KEN,2743
2022-10,KEN,2903
2023-01,KEN,1550
2023-04,KEN,2232
2023-07,KEN,2797
2023-10,KEN,2681
2024-01,KEN,1584
2024-04,KEN,2892
2024-07,KEN,733
2022-01,KIR,3
2019-04,COL,11431
2020-04,COL,14
2021-07,COL,3683
2021-10,COL,14097
2022-01,COL,9404
