tarih,uyruk,ziyaretci_sayisi
2023-11-01,Kazakistan,25948
2023-11-01,Hollanda,24474
2023-11-01,Cezayir,24290
2023-11-01,Çin,21859
2023-11-01,İspanya,20343
2023-11-01,Hindistan,18924
2023-11-01,Romanya,17988
2023-11-01,Fas,16754
2023-11-01,Ukrayna,16498
2023-11-01,Endonezya,14415
2023-11-01,Belçika,14334
2023-11-01,Libya,13521
2023-11-01,Kanada,13298
2023-11-01,Mısır,12784
2023-11-01,Yunanistan,12750
2023-11-01,Lübnan,12458
2023-11-01,Bulgaristan,12439
2023-11-01,Tunus,11889
2023-11-01,Güney Kore,11225
2023-11-01,Avusturya,10895
2023-11-01,Kuveyt,10657
2023-11-01,İsveç,10180
2023-11-01,İsviçre,9857
2023-11-01,Polonya,9830
2023-11-01,Kosova,9797
2023-11-01,Ürdün,9465
2023-11-01,Gürcistan,8843
2023-11-01,Türkmenistan,8830
2023-11-01,Pakistan,8644
2023-11-01,Kırgızistan,8385
2023-11-01,Meksika,8282
2023-11-01,Japonya,8142
2023-11-01,Kuzey Kıbrıs,8088
2023-11-01,Malezya,7873
2023-11-01,Suriye,7188
2023-11-01,Avustralya,6880
2023-11-01,Arnavutluk,6426
2023-11-01,Belarus,6299
2023-11-01,Macaristan,6299
2023-11-01,Danimarka,6116
2023-11-01,Sırbistan,5985
2023-11-01,Brezilya,5676
2023-11-01,Bosna Hersek,5590
2023-11-01,Tacikistan,5430
2023-11-01,Portekiz,5196
2023-11-01,Tayvan,5163
2023-11-01,Filipinler,5084
2023-11-01,Hırvatistan,4962
2023-11-01,Çekya,4614
2023-11-01,Norveç,4396
2023-11-01,Singapur,4242
2023-11-01,Moldova,3915
2023-11-01,Kolombiya,3878
2023-11-01,İrlanda,3507
2023-11-01,Litvanya,3339
2023-11-01,Kuzey Makedonya,3218
2023-11-01,Güney Afrika,3157
2023-11-01,Moğolistan,3146
2023-11-01,Afganistan,3052
2023-11-01,Slovenya,3015
2023-11-01,Tayland,2965
2023-11-01,Birleşik Arap Emirlikleri,2805
2023-11-01,Finlandiya,2665
2023-11-01,Arjantin,2645
2023-11-01,Slovakya,2440
2023-11-01,Letonya,2285
2023-11-01,Umman,2233
2023-11-01,Yemen,2144
2023-11-01,Bahreyn,2081
2023-11-01,Karadağ,1950
2023-11-01,Nijerya,1881
2023-11-01,Milliyetsiz (Haymatlos),1789
2023-11-01,Katar,1780
2023-11-01,Venezuela,1708
2023-11-01,Filistin,1658
2023-11-01,Estonya,1655
2023-11-01,Etiyopya,1638
2023-11-01,Hong Kong,1586
2023-11-01,Bangladeş,1569
2023-11-01,İsrail,1427
2023-11-01,Şili,1286
2023-11-01,Senegal,1194
2023-11-01,Ermenistan,1166
2023-11-01,Yeni Zelanda,1121
2023-11-01,Peru,1037
2023-11-01,Eritre,991
2023-11-01,Ekvador,955
2023-11-01,Fildişi Sahili,951
2023-11-01,Mauritius,943
